val_loss_class_step,val_loss_func_step,step,val_loss_class_epoch,val_loss_func_epoch,epoch,train_loss_class_epoch,train_loss_func_epoch,train_loss_class_step,train_loss_func_step
0.8067273497581482,0.002105040941387415,0,,,,,,,
0.8051881790161133,0.003265341743826866,1,,,,,,,
0.9364107251167297,0.0018556889845058322,2,,,,,,,
0.8069807291030884,0.003166402690112591,3,,,,,,,
0.775037407875061,0.003609532257542014,4,,,,,,,
0.8999948501586914,0.002306603826582432,5,,,,,,,
0.7436686754226685,0.002003745175898075,6,,,,,,,
,,24,0.8346010446548462,0.0026895273476839066,0,,,,
,,24,,,0,0.9321054816246033,0.08099139481782913,,
,,49,,,1,,,0.7889991998672485,0.00032548976014368236
0.8015260696411133,0.0004382392216939479,7,,,,,,,
0.8061262965202332,0.00042459918768145144,8,,,,,,,
0.7437543869018555,0.00043193675810471177,9,,,,,,,
0.8061779737472534,0.0006282198592089117,10,,,,,,,
0.8061270117759705,0.0006234535248950124,11,,,,,,,
0.8280605673789978,0.0005216064746491611,12,,,,,,,
0.7436684966087341,0.0004226460587233305,13,,,,,,,
,,49,0.7964302897453308,0.000507794669829309,1,,,,
,,49,,,1,0.8588780760765076,0.001300979289226234,,
0.8374059796333313,4.3043168261647224e-05,14,,,,,,,
0.8374181985855103,6.115023279562593e-05,15,,,,,,,
0.782880961894989,6.432179361581802e-05,16,,,,,,,
0.870761513710022,6.068741640774533e-05,17,,,,,,,
0.7436743378639221,7.365041528828442e-05,18,,,,,,,
0.9193286895751953,6.750415923306718e-05,19,,,,,,,
0.9428405165672302,9.410079655935988e-05,20,,,,,,,
,,74,0.8363487720489502,6.302117981249467e-05,2,,,,
,,74,,,2,0.8140333294868469,0.00015963902114890516,,
,,99,,,3,,,0.9318373203277588,3.783780994126573e-05
0.9309095144271851,1.2748980225296691e-05,21,,,,,,,
0.8061681985855103,3.36922166752629e-05,22,,,,,,,
0.8686614036560059,2.2813566829427145e-05,23,,,,,,,
0.8380985856056213,1.533038266643416e-05,24,,,,,,,
0.8061978220939636,2.2958824047236703e-05,25,,,,,,,
0.8374181389808655,1.621301271370612e-05,26,,,,,,,
0.7436685562133789,1.799341043806635e-05,27,,,,,,,
,,99,0.8437393307685852,2.052085255854763e-05,3,,,,
,,99,,,3,0.9075197577476501,3.8591300835832953e-05,,
0.7750462293624878,6.366719753714278e-05,28,,,,,,,
0.9603753685951233,8.223624899983406e-05,29,,,,,,,
0.8374281525611877,8.26874456834048e-05,30,,,,,,,
0.8999181985855103,5.69571420783177e-05,31,,,,,,,
0.8374181985855103,8.946793241193518e-05,32,,,,,,,
0.8364182710647583,0.00010515227040741593,33,,,,,,,
0.743690550327301,5.4339929192792624e-05,34,,,,,,,
,,124,0.8532042503356934,7.900051423348486e-05,4,,,,
,,124,,,4,0.8548485636711121,3.49446308973711e-05,,
,,149,,,5,,,0.8374053239822388,1.6269670595647767e-05
0.9287163615226746,1.4890401871525683e-05,35,,,,,,,
0.8061681389808655,1.4907084732840303e-05,36,,,,,,,
0.994074285030365,1.00541965366574e-05,37,,,,,,,
0.8374181985855103,1.4323442883323878e-05,38,,,,,,,
0.8999180793762207,1.3868748283130117e-05,39,,,,,,,
0.8686668872833252,1.7121539713116363e-05,40,,,,,,,
0.9936684966087341,1.7706601283862256e-05,41,,,,,,,
,,149,0.8933405876159668,1.4334730622067582e-05,5,,,,
,,149,,,5,0.8688209652900696,3.8403039070544764e-05,,
0.9936125874519348,5.369610789784929e-06,42,,,,,,,
0.9903133511543274,1.3002359992242418e-05,43,,,,,,,
0.9624180793762207,1.2315602361923084e-05,44,,,,,,,
0.83741694688797,1.3714820852328558e-05,45,,,,,,,
0.9936610460281372,8.264934876933694e-06,46,,,,,,,
0.9918236136436462,8.227809303207323e-06,47,,,,,,,
0.9937697052955627,9.134269021160435e-06,48,,,,,,,
,,174,0.962830126285553,1.0108592505275737e-05,6,,,,
,,174,,,6,0.9433038234710693,1.3211034456617199e-05,,
,,199,,,7,,,0.8374311327934265,9.775491889740806e-06
0.8374181389808655,1.2079254702257458e-05,49,,,,,,,
0.8999181389808655,9.840481652645394e-06,50,,,,,,,
0.8690450191497803,9.265815606340766e-06,51,,,,,,,
1.0341618061065674,1.3046772437519394e-05,52,,,,,,,
0.8999181389808655,7.71571558288997e-06,53,,,,,,,
0.8682701587677002,9.97329243546119e-06,54,,,,,,,
0.9936684966087341,1.4576405192201491e-05,55,,,,,,,
,,199,0.9051437377929688,1.049046841217205e-05,7,,,,
,,199,,,7,0.8728839159011841,9.712099199532531e-06,,
0.8061681985855103,1.6259702533716336e-05,56,,,,,,,
0.8365132212638855,8.298998181999195e-06,57,,,,,,,
0.7436681985855103,7.910532076493837e-06,58,,,,,,,
0.8374914526939392,7.865353836677969e-06,59,,,,,,,
0.8663143515586853,6.040068001311738e-06,60,,,,,,,
0.8374181985855103,9.692406820249744e-06,61,,,,,,,
0.7436684966087341,1.4515813745674677e-05,62,,,,,,,
,,224,0.8181585073471069,9.551362381898798e-06,8,,,,
,,224,,,8,0.8920764327049255,1.3690375453734305e-05,,
,,249,,,9,,,0.8687204122543335,1.0143889085156843e-05
0.8999180793762207,6.155581104394514e-06,63,,,,,,,
0.8252317905426025,1.2570795661304146e-05,64,,,,,,,
0.8062076568603516,1.0260380804538727e-05,65,,,,,,,
0.8374180793762207,1.2988382877665572e-05,66,,,,,,,
0.8686681389808655,7.499026651203167e-06,67,,,,,,,
0.9311354756355286,1.0951242984447163e-05,68,,,,,,,
0.9936552047729492,9.145853255176917e-06,69,,,,,,,
,,249,0.8667188882827759,1.0033899343397934e-05,9,,,,
,,249,,,9,0.8647424578666687,1.2160830920038279e-05,,
0.8686681389808655,1.0654437573975883e-05,70,,,,,,,
0.9305370450019836,1.4703737178933807e-05,71,,,,,,,
0.8684812188148499,1.1282420018687844e-05,72,,,,,,,
0.8061681389808655,1.1534268196555786e-05,73,,,,,,,
0.9624192714691162,1.273028101422824e-05,74,,,,,,,
0.9311646819114685,1.081764366972493e-05,75,,,,,,,
0.7436684966087341,2.0753901480929926e-05,76,,,,,,,
,,274,0.888536810874939,1.230580255651148e-05,10,,,,
,,274,,,10,0.8618515729904175,8.581543625041377e-06,,
,,299,,,11,,,0.9936680793762207,2.8206918614159804e-06
1.1499180793762207,1.4777765500184614e-05,77,,,,,,,
0.9624180793762207,5.955739652563352e-06,78,,,,,,,
0.9937289357185364,6.322205990727525e-06,79,,,,,,,
1.0249180793762207,1.2923168469569646e-05,80,,,,,,,
1.0561680793762207,1.1731552149285562e-05,81,,,,,,,
1.0874179601669312,9.642605618864764e-06,82,,,,,,,
0.8686684966087341,4.5162114474806e-06,83,,,,,,,
,,299,1.0386778116226196,9.997133929573465e-06,11,,,,
,,299,,,11,0.9688162207603455,7.640679541509598e-06,,
1.0249180793762207,1.682460970187094e-05,84,,,,,,,
1.0249180793762207,1.3473174476530403e-05,85,,,,,,,
0.8996718525886536,2.429111918900162e-05,86,,,,,,,
1.0561680793762207,1.90363971341867e-05,87,,,,,,,
0.9311681389808655,2.1771287720184773e-05,88,,,,,,,
0.9311680793762207,1.0472341273271013e-05,89,,,,,,,
0.9936684966087341,1.160457031801343e-05,90,,,,,,,
,,324,0.9786286950111389,1.7403212041244842e-05,12,,,,
,,324,,,12,0.9459683895111084,7.455415925505804e-06,,
,,349,,,13,,,0.8999181389808655,8.098054422589485e-06
0.7749181985855103,4.087601155333687e-06,91,,,,,,,
0.8061681985855103,5.455190148495603e-06,92,,,,,,,
0.8374181389808655,7.450024895661045e-06,93,,,,,,,
1.0248409509658813,5.30763190909056e-06,94,,,,,,,
0.9613704681396484,9.199833584716544e-06,95,,,,,,,
1.025105595588684,6.228380698303226e-06,96,,,,,,,
1.2436684370040894,4.348154106992297e-06,97,,,,,,,
,,349,0.9185181260108948,6.2105123106448445e-06,13,,,,
,,349,,,13,0.8778421878814697,1.3116709851601627e-05,,
0.8686681389808655,5.455166956380708e-06,98,,,,,,,
0.8685798048973083,5.6024250625341665e-06,99,,,,,,,
0.9624181389808655,7.435279712808551e-06,100,,,,,,,
0.8686681389808655,8.247534424299374e-06,101,,,,,,,
1.0250085592269897,6.401055543392431e-06,102,,,,,,,
0.8374180793762207,1.0866012416954618e-05,103,,,,,,,
0.9865137934684753,6.86125349602662e-06,104,,,,,,,
,,374,0.90838223695755,7.315646598726744e-06,14,,,,
,,374,,,14,0.8587382435798645,6.99713427820825e-06,,
,,399,,,15,,,0.7436681985855103,3.862471203319728e-06
0.8999196887016296,4.685608473664615e-06,105,,,,,,,
0.9624180793762207,5.86719124839874e-06,106,,,,,,,
0.9624115824699402,5.036643415223807e-06,107,,,,,,,
0.9311681389808655,2.090396264975425e-06,108,,,,,,,
0.8061681985855103,3.271679815952666e-06,109,,,,,,,
0.9922395944595337,2.8483891583164223e-06,110,,,,,,,
0.7436684966087341,3.842822025035275e-06,111,,,,,,,
,,399,0.918438732624054,3.961697984777857e-06,15,,,,
,,399,,,15,0.8524861335754395,4.776093192049302e-06,,
0.9623375535011292,7.987634489836637e-06,112,,,,,,,
0.8999172449111938,1.021965636027744e-05,113,,,,,,,
0.9624180793762207,7.143777111195959e-06,114,,,,,,,
0.9624180793762207,8.128135050355922e-06,115,,,,,,,
0.8686681985855103,8.653206350572873e-06,116,,,,,,,
0.8061683773994446,9.275798220187426e-06,117,,,,,,,
1.2436684370040894,6.337148988677654e-06,118,,,,,,,
,,424,0.9236551523208618,8.478798918076791e-06,16,,,,
,,424,,,16,0.8655093908309937,6.2571025409852155e-06,,
,,449,,,17,,,1.024998426437378,5.90375202591531e-06
1.1186679601669312,1.2433332813088782e-05,119,,,,,,,
0.8999181389808655,1.4358283806359395e-05,120,,,,,,,
1.0876119136810303,1.349392368865665e-05,121,,,,,,,
