val_loss_class_step,val_loss_func_step,step,val_loss_class_epoch,val_loss_func_epoch,epoch,train_loss_class_epoch,train_loss_func_epoch,train_loss_class_step,train_loss_func_step
0.7850598692893982,0.06208951026201248,0,,,,,,,
0.7868689298629761,0.05177406594157219,1,,,,,,,
0.8607569932937622,0.06355416774749756,2,,,,,,,
0.8548343181610107,0.06260791420936584,3,,,,,,,
,,12,0.8126528263092041,0.05927799269556999,0,,,,
,,12,,,0,1.011216640472412,0.25631994009017944,,
0.7798869609832764,0.010161073878407478,4,,,,,,,
0.8063184022903442,0.010820632800459862,5,,,,,,,
0.8062989711761475,0.007832647301256657,6,,,,,,,
0.7436872124671936,0.026285657659173012,7,,,,,,,
,,25,0.7953488230705261,0.010272018611431122,1,,,,
,,25,,,1,0.8084813952445984,0.03113745152950287,,
0.7460442781448364,0.001510684727691114,8,,,,,,,
0.775385856628418,0.0014796716859564185,9,,,,,,,
0.8505473136901855,0.0026605618186295033,10,,,,,,,
0.9484919905662537,0.0012436273973435163,11,,,,,,,
,,38,0.7969724535942078,0.0018580389441922307,2,,,,
,,38,,,2,0.826914370059967,0.006167452782392502,,
,,49,,,3,,,0.7439497709274292,0.0005403058603405952
0.7748942375183105,0.0003971473779529333,12,,,,,,,
0.873673677444458,0.00017463637050241232,13,,,,,,,
0.7447959184646606,0.00033992566750384867,14,,,,,,,
0.7436684370040894,0.00014034181367605925,15,,,,,,,
,,51,0.7956231832504272,0.0002973606751766056,3,,,,
,,51,,,3,0.7993524670600891,0.0008682992774993181,,
0.8061984777450562,9.790576586965472e-05,16,,,,,,,
0.8228204846382141,0.00010659651889000088,17,,,,,,,
0.8061673045158386,0.00015207193791866302,18,,,,,,,
0.7436684370040894,5.153845631866716e-05,19,,,,,,,
,,64,0.8090063333511353,0.00011616529081948102,4,,,,
,,64,,,4,0.7944869995117188,0.00023852998856455088,,
0.7846071720123291,7.710333011345938e-05,20,,,,,,,
0.8061667680740356,8.25472961878404e-05,21,,,,,,,
0.8061695694923401,8.864956180332229e-05,22,,,,,,,
0.7436684370040894,0.0001932623708853498,23,,,,,,,
,,77,0.7967686653137207,8.718656317796558e-05,5,,,,
,,77,,,5,0.8043858408927917,7.951272709760815e-05,,
0.8059594631195068,2.6601250283420086e-05,24,,,,,,,
0.8288120627403259,6.077906800783239e-05,25,,,,,,,
0.8061684966087341,9.573229181114584e-05,26,,,,,,,
0.7436684370040894,1.5191677448456176e-05,27,,,,,,,
,,90,0.8108475208282471,5.9203706769039854e-05,6,,,,
,,90,,,6,0.8165726661682129,5.828921348438598e-05,,
,,99,,,7,,,0.7749185562133789,1.3717876754526515e-05
0.8381702303886414,1.6319532733177766e-05,28,,,,,,,
0.7781783938407898,4.244389128871262e-05,29,,,,,,,
0.7749184370040894,2.8597565687960014e-05,30,,,,,,,
1.2436684370040894,5.3120424126973376e-05,31,,,,,,,
,,103,0.8149521350860596,3.0080333090154454e-05,7,,,,
,,103,,,7,0.8043281435966492,3.2282703614328057e-05,,
0.7781493663787842,1.3779680557490792e-05,32,,,,,,,
0.7437485456466675,2.428159859846346e-05,33,,,,,,,
0.7455378770828247,5.615869304165244e-05,34,,,,,,,
0.7436684370040894,1.3887548448110465e-05,35,,,,,,,
,,116,0.7553261518478394,3.070589082199149e-05,8,,,,
,,116,,,8,0.8093231320381165,2.0892137399641797e-05,,
0.7452174425125122,1.5169965990935452e-05,36,,,,,,,
0.8037832975387573,1.7646749256527983e-05,37,,,,,,,
0.7749184370040894,5.604097532341257e-05,38,,,,,,,
0.9930134415626526,2.1561239918810315e-05,39,,,,,,,
,,129,0.7833747267723083,2.9296910724951886e-05,9,,,,
,,129,,,9,0.7860472798347473,1.9162271200912073e-05,,
0.7749187350273132,2.0909661543555558e-05,40,,,,,,,
0.743672251701355,4.034593075630255e-05,41,,,,,,,
0.774917483329773,1.2150885595474392e-05,42,,,,,,,
0.7436684370040894,6.5727817855076864e-06,43,,,,,,,
,,142,0.7636694312095642,2.3752983906888403e-05,10,,,,
,,142,,,10,0.7900404334068298,1.3055287126917392e-05,,
,,149,,,11,,,0.886728048324585,1.2330772733548656e-05
0.7749209403991699,1.1650186934275553e-05,44,,,,,,,
0.8374184370040894,5.861316367372638e-06,45,,,,,,,
0.7750644087791443,7.225507488328731e-06,46,,,,,,,
0.7436684370040894,2.5887979063554667e-05,47,,,,,,,
,,155,0.7937158942222595,8.951362360676285e-06,11,,,,
,,155,,,11,0.8036501407623291,1.3762804883299395e-05,,
0.8999664783477783,2.1761043171864003e-05,48,,,,,,,
0.8061684370040894,1.1180015462741721e-05,49,,,,,,,
0.7749459743499756,7.285921128641348e-06,50,,,,,,,
0.7436684370040894,1.403538703925733e-06,51,,,,,,,
,,168,0.8236926198005676,1.2928774594911374e-05,12,,,,
,,168,,,12,0.8227776885032654,1.1269220522081014e-05,,
0.8436266183853149,1.3704901903111022e-05,52,,,,,,,
0.7749185562133789,6.842084076197352e-06,53,,,,,,,
0.8374164700508118,3.0614930437877774e-05,54,,,,,,,
0.7436684370040894,5.955480446573347e-06,55,,,,,,,
,,181,0.815654456615448,1.6610032616881654e-05,13,,,,
,,181,,,13,0.7997679114341736,1.2399692423059605e-05,,
0.8061684370040894,8.769190571911167e-06,56,,,,,,,
0.8374181389808655,1.1797419574577361e-05,57,,,,,,,
