weather_daytime,score mean,score std,completion mean,completion std,penalty mean,penalty std,duration mean,duration std,length mean,length std,collisions_layout mean,collisions_layout std,collisions_pedestrian mean,collisions_pedestrian std,collisions_vehicle mean,collisions_vehicle std,outside_route_lanes mean,outside_route_lanes std,red_light mean,red_light std,route_dev mean,route_dev std,route_timeout mean,route_timeout std,stop_infraction mean,stop_infraction std,vehicle_blocked mean,vehicle_blocked std
Clear-Morning,47.939733461636706,39.80044643500382,55.27208939313715,37.5826929593897,0.7066666666666667,0.23683092891108815,186.81666945045194,121.79481104563725,141.42135365230294,5.671044080422255e-06,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317,0.0,0.0,0.6666666666666666,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4714045207910317
Clear-Night,25.41278065670188,31.58394378492847,100.0,0.0,0.2541278065670188,0.3158394378492847,179.91666934763393,156.8304645848525,141.42135376469443,2.225240031617204e-06,0.0,0.0,0.0,0.0,4.333333333333333,3.2998316455372216,0.6666666666666666,0.4714045207910317,1.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clear-Twilight,58.373333333333335,34.671199703628496,100.0,0.0,0.5837333333333333,0.34671199703628497,81.35000121220946,13.270707287676997,141.4213502805551,3.464141461188573e-06,0.0,0.0,0.0,0.0,1.3333333333333333,1.247219128924647,0.0,0.0,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cloudy-Morning,44.22234960922915,40.06153856139621,90.86572431020039,12.91781656296947,0.45194875941922114,0.3918976676106168,110.03333497295777,41.17605217539782,141.4213502805551,3.464141461188573e-06,0.6666666666666666,0.9428090415820634,0.0,0.0,1.3333333333333333,0.9428090415820634,0.3333333333333333,0.4714045207910317,0.6666666666666666,0.4714045207910317,0.0,0.0,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0
Cloudy-Night,35.028800624998475,45.94663513177607,36.99296008043556,44.60148476867292,0.6673043557567003,0.24436141827499583,125.96666854371627,34.007654873903824,141.42135365230294,5.671044080422255e-06,0.3333333333333333,0.4714045207910317,0.0,0.0,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4714045207910317
Cloudy-Twilight,14.929844415879387,18.030995392204392,23.662336010689547,24.098596891586155,0.4381134566687665,0.2068316357744627,186.08333610619107,120.69829185363297,141.42135365230294,5.671044080422255e-06,0.3333333333333333,0.4714045207910317,0.0,0.0,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.6666666666666666,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rain-Morning,53.67854495620558,33.05865719912889,100.0,0.0,0.5367854495620558,0.3305865719912888,85.65000127628446,9.785789161870735,141.4213502805551,3.464141461188573e-06,0.0,0.0,0.0,0.0,1.3333333333333333,0.9428090415820634,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rain-Night,15.63784380126171,9.500386451890236,69.34784207223557,43.34869745744645,0.2851175013092277,0.10299288572353524,206.4166697425147,116.86797806042809,141.42135533817677,3.36424672662671e-06,0.3333333333333333,0.4714045207910317,0.0,0.0,1.3333333333333333,0.4714045207910317,0.6666666666666666,0.4714045207910317,1.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317
Rain-Twilight,27.524528106798034,19.37942738479842,85.92424732090159,19.906120339390412,0.3737755498216693,0.28709886512334004,241.35000359639525,128.2772472306193,141.42135556295992,9.536743134829318e-07,0.3333333333333333,0.4714045207910317,0.0,0.0,3.6666666666666665,4.4969125210773475,0.3333333333333333,0.4714045207910317,1.6666666666666667,0.9428090415820634,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317
