weather_daytime,score mean,score std,completion mean,completion std,penalty mean,penalty std,duration mean,duration std,length mean,length std,collisions_layout mean,collisions_layout std,collisions_pedestrian mean,collisions_pedestrian std,collisions_vehicle mean,collisions_vehicle std,outside_route_lanes mean,outside_route_lanes std,red_light mean,red_light std,route_dev mean,route_dev std,route_timeout mean,route_timeout std,stop_infraction mean,stop_infraction std,vehicle_blocked mean,vehicle_blocked std
Clear-Morning,23.299045215319932,24.50499366842893,53.40095223900564,39.92099081876586,0.698980929763143,0.42570525166190254,192.41666953389844,133.7899887473274,141.42135365230294,5.671044080422255e-06,0.0,0.0,0.0,0.0,1.3333333333333333,1.8856180831641267,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4714045207910317
Clear-Night,13.081865013509207,18.418441715531976,53.90880721184673,41.19738115833865,0.5450261420708197,0.4125897149105001,216.96666989972195,153.20506275926206,141.42135376469443,2.225240031617204e-06,1.6666666666666667,1.699673171197595,0.0,0.0,3.0,4.242640687119285,0.6666666666666666,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4714045207910317
Clear-Twilight,7.538388354488098,6.1449468123706446,48.644558035091016,35.7074888479223,0.44504154225213033,0.3975852759752422,139.63333541403213,43.32636546991947,141.4213502805551,3.464141461188573e-06,0.3333333333333333,0.4714045207910317,0.0,0.0,1.6666666666666667,1.247219128924647,0.6666666666666666,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Cloudy-Morning,7.378746177395335,6.259541254283754,46.4268547657713,33.38230876274685,0.4448698057054869,0.39775201086168055,137.78333538646498,40.83524546171002,141.4213502805551,3.464141461188573e-06,0.3333333333333333,0.4714045207910317,0.0,0.0,1.6666666666666667,1.247219128924647,0.6666666666666666,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Cloudy-Night,12.420085249426782,15.44513600700206,45.536250138094964,31.50858889223844,0.5356201579960903,0.4079951818130836,244.13333697120348,138.01308315959972,141.42135365230294,5.671044080422255e-06,0.0,0.0,0.0,0.0,3.3333333333333335,4.0276819911981905,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Cloudy-Twilight,14.800899305544796,18.100899478733584,50.64951144047232,36.774955044470815,0.5721570813071452,0.41157426418026766,270.383337362359,144.91971748105584,141.42135365230294,5.671044080422255e-06,1.6666666666666667,2.357022603955158,0.0,0.0,1.0,1.4142135623730951,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.0,0.0,0.3333333333333333,0.4714045207910317,0.0,0.0,0.6666666666666666,0.4714045207910317
Rain-Morning,6.805110843481427,6.228909476400753,34.956240660384246,25.73932617759166,0.4562446829966415,0.3877550159276621,131.96666863312325,33.81085510539664,141.4213502805551,3.464141461188573e-06,0.0,0.0,0.0,0.0,2.0,1.632993161855452,0.6666666666666666,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rain-Night,8.885355992386227,8.795854242388973,37.588091426241604,25.229204172525492,0.4694478683992623,0.3938772112277122,217.93333658079305,146.77869236012987,141.42135533817677,3.36424672662671e-06,1.0,1.4142135623730951,0.0,0.0,1.6666666666666667,1.247219128924647,0.6666666666666666,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rain-Twilight,13.767049018846736,18.831103366049852,38.46210919756973,27.196819783619755,0.5719141646562693,0.4119022501002404,271.1166707066198,128.18574171329766,141.42135556295992,9.536743134829318e-07,2.3333333333333335,3.2998316455372216,0.0,0.0,0.6666666666666666,0.9428090415820634,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
