weather_daytime,score mean,score std,completion mean,completion std,penalty mean,penalty std,duration mean,duration std,length mean,length std,collisions_layout mean,collisions_layout std,collisions_pedestrian mean,collisions_pedestrian std,collisions_vehicle mean,collisions_vehicle std,outside_route_lanes mean,outside_route_lanes std,red_light mean,red_light std,route_dev mean,route_dev std,route_timeout mean,route_timeout std,stop_infraction mean,stop_infraction std,vehicle_blocked mean,vehicle_blocked std
Clear-Morning,1.777191595866465,0.7256095892296452,34.84905237933358,46.069042720217205,0.6692813921653289,0.4677067405289409,143.4833354714016,62.37143313643209,141.42135365230294,5.671044080422255e-06,0.0,0.0,0.0,0.0,3.0,4.242640687119285,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4714045207910317
Clear-Night,11.319911066389205,9.008464309844575,38.98168345027229,27.655829616753405,0.5246326296663851,0.341386447000217,177.2333359743158,94.25623314663665,141.42135376469443,2.225240031617204e-06,0.3333333333333333,0.4714045207910317,0.0,0.0,1.3333333333333333,0.9428090415820634,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Clear-Twilight,6.430569977044814,6.629874906505622,36.27153267517152,26.531707947707293,0.4430208218180116,0.3996953935069624,172.13333589831987,72.33727055606667,141.4213502805551,3.464141461188573e-06,1.0,1.4142135623730951,0.0,0.0,1.3333333333333333,0.9428090415820634,0.6666666666666666,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.0,0.0,0.3333333333333333,0.4714045207910317,0.0,0.0,0.6666666666666666,0.4714045207910317
Cloudy-Morning,12.455774850779898,9.261082546817528,33.73201803702421,25.38198369923459,0.6010216739060671,0.30875385183480775,126.3333352158467,27.38413003737814,141.4213502805551,3.464141461188573e-06,0.0,0.0,0.0,0.0,1.0,0.816496580927726,0.6666666666666666,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Cloudy-Night,27.204817588612006,22.736941362979973,33.193087252920826,22.783067075492788,0.8478461292672071,0.2151780675578785,210.10000313073397,119.22446095617684,141.42135365230294,5.671044080422255e-06,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Cloudy-Twilight,14.563689507554074,8.533954995606338,32.486007192675885,22.448139261258138,0.634071750562212,0.26923126649686513,214.13333652416864,153.94036051384776,141.42135365230294,5.671044080422255e-06,0.0,0.0,0.0,0.0,1.0,0.816496580927726,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rain-Morning,14.552271855863628,10.290700295627527,33.565640164051054,25.20220735784881,0.6356098527713435,0.2694105011603027,121.66666847964127,22.61475707284828,141.4213502805551,3.464141461188573e-06,0.0,0.0,0.0,0.0,1.0,0.816496580927726,0.6666666666666666,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rain-Night,13.290939223007541,8.108104355370969,29.88544384993116,24.138480608669912,0.65043055053351,0.26460417863323565,133.68333532537022,31.682312396722764,141.42135533817677,3.36424672662671e-06,0.0,0.0,0.0,0.0,1.0,0.816496580927726,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rain-Twilight,3.134299266676177,4.343204526952498,32.38532126343252,24.225609682639387,0.4135507805311198,0.42575524522537334,406.43333938966197,360.8570507874487,141.42135556295992,9.536743134829318e-07,0.6666666666666666,0.9428090415820634,0.0,0.0,4.333333333333333,5.436502143433364,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
