weather_daytime,score mean,score std,completion mean,completion std,penalty mean,penalty std,duration mean,duration std,length mean,length std,collisions_layout mean,collisions_layout std,collisions_pedestrian mean,collisions_pedestrian std,collisions_vehicle mean,collisions_vehicle std,outside_route_lanes mean,outside_route_lanes std,red_light mean,red_light std,route_dev mean,route_dev std,route_timeout mean,route_timeout std,stop_infraction mean,stop_infraction std,vehicle_blocked mean,vehicle_blocked std
Clear-Morning,16.725859760383983,13.057764514895926,33.472051812667615,22.8010500326019,0.6437429489717564,0.27477117508711285,226.98333671564856,144.7975869287924,141.42135365230294,5.671044080422255e-06,0.0,0.0,0.0,0.0,1.0,0.816496580927726,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Clear-Night,8.858522858781647,7.962174996550817,52.20384649455462,40.94362643208083,0.44048615588911605,0.3965166481589318,156.5666689996918,109.77105378011754,141.42135376469443,2.225240031617204e-06,0.3333333333333333,0.4714045207910317,0.0,0.0,2.0,1.4142135623730951,0.6666666666666666,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4714045207910317
Clear-Twilight,12.135403949408191,8.849225470011564,33.56034970077801,25.638210530990552,0.5973979472732794,0.30867121260201863,113.18333501989643,17.88268897806079,141.4213502805551,3.464141461188573e-06,0.0,0.0,0.0,0.0,1.0,0.816496580927726,0.6666666666666666,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Cloudy-Morning,14.117967295404478,9.986453932958078,33.22758886739199,25.267805274645774,0.6311369386908342,0.2722340888927492,113.15000168606639,17.77952969252923,141.4213502805551,3.464141461188573e-06,0.0,0.0,0.0,0.0,1.0,0.816496580927726,0.6666666666666666,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Cloudy-Night,20.237637513002287,25.603584588714966,50.72394441888749,36.77222746536299,0.6667216308271809,0.45959095338970035,244.9333369831244,115.82721739174768,141.42135365230294,5.671044080422255e-06,1.6666666666666667,2.357022603955158,0.0,0.0,1.0,1.4142135623730951,0.6666666666666666,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Cloudy-Twilight,15.951176330180681,9.570266891020692,32.970137090194314,22.725954175608756,0.6545127959338738,0.24944804328119824,220.06666994591555,143.27487974983057,141.42135365230294,5.671044080422255e-06,0.0,0.0,0.0,0.0,0.6666666666666666,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rain-Morning,14.479207319382255,10.239014376597918,33.629999460754426,25.357314145216446,0.6336797529112232,0.2700328687525691,133.5666686569651,35.6405750993439,141.4213502805551,3.464141461188573e-06,0.0,0.0,0.0,0.0,1.0,0.816496580927726,0.6666666666666666,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rain-Night,13.316727965571934,8.164801718923393,30.026341712244726,24.359032475120657,0.6496941121122025,0.2647707694365112,156.50000233203173,61.46230643721159,141.42135533817677,3.36424672662671e-06,0.0,0.0,0.0,0.0,1.0,0.816496580927726,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rain-Twilight,6.852831115573356,9.678227541020236,31.092257938006412,23.573409179870875,0.45350437173139807,0.4133608664547771,468.9833403217296,322.6544906317288,141.42135556295992,9.536743134829318e-07,0.3333333333333333,0.4714045207910317,0.0,0.0,5.0,5.715476066494082,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
