weather_daytime,score mean,score std,completion mean,completion std,penalty mean,penalty std,duration mean,duration std,length mean,length std,collisions_layout mean,collisions_layout std,collisions_pedestrian mean,collisions_pedestrian std,collisions_vehicle mean,collisions_vehicle std,outside_route_lanes mean,outside_route_lanes std,red_light mean,red_light std,route_dev mean,route_dev std,route_timeout mean,route_timeout std,stop_infraction mean,stop_infraction std,vehicle_blocked mean,vehicle_blocked std
Clear-Morning,47.939733461636706,39.80044643500382,55.27208939313715,37.5826929593897,0.7066666666666667,0.23683092891108815,211.2500031478703,154.73067153449148,141.42135365230294,5.671044080422255e-06,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317,0.0,0.0,0.6666666666666666,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4714045207910317
Clear-Night,4.137453618752113,3.619953875284812,100.0,0.0,0.04137453618752113,0.03619953875284812,173.6333359206716,154.9824170824782,141.42135376469443,2.225240031617204e-06,0.0,0.0,0.0,0.0,6.666666666666667,2.494438257849294,0.6666666666666666,0.4714045207910317,1.6666666666666667,0.9428090415820634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clear-Twilight,29.2001366337368,25.13522865803956,93.71163063874197,8.893097235902543,0.2981815757456124,0.24623304976026675,105.30000156909227,34.936442812275175,141.4213502805551,3.464141461188573e-06,0.6666666666666666,0.4714045207910317,0.0,0.0,2.0,1.4142135623730951,0.3333333333333333,0.4714045207910317,0.6666666666666666,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317
Cloudy-Morning,40.55719121070971,19.96812749691888,98.94927594662649,1.4859482065924423,0.40724398042627946,0.19757861516383954,108.28333494688074,34.22728819430278,141.4213502805551,3.464141461188573e-06,0.6666666666666666,0.4714045207910317,0.0,0.0,1.0,0.816496580927726,0.6666666666666666,0.4714045207910317,0.6666666666666666,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317
Cloudy-Night,47.939733461636706,39.80044643500382,55.27208939313715,37.5826929593897,0.7066666666666667,0.23683092891108815,187.3000027909875,120.61911996138844,141.42135365230294,5.671044080422255e-06,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317,0.0,0.0,0.6666666666666666,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4714045207910317
Cloudy-Twilight,33.39025635174864,22.193485352660254,55.27208939313715,37.5826929593897,0.5611718955677859,0.11432153491407582,188.48333614195386,122.71353227878792,141.42135365230294,5.671044080422255e-06,0.0,0.0,0.0,0.0,0.6666666666666666,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.6666666666666666,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4714045207910317
Rain-Morning,26.888762024508623,27.597682625190096,85.24576651469503,20.865637097337547,0.27033369537690993,0.27460066807452976,140.383335425208,81.37110924370556,141.4213502805551,3.464141461188573e-06,0.3333333333333333,0.4714045207910317,0.0,0.0,3.6666666666666665,3.299831645537222,0.3333333333333333,0.4714045207910317,0.6666666666666666,0.4714045207910317,0.0,0.0,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0
Rain-Night,3.212581193013438,1.8925696503468656,69.34784207223557,43.34869745744645,0.160864875226745,0.1842072626480354,175.683335951219,132.79997897017037,141.42135533817677,3.36424672662671e-06,0.0,0.0,0.0,0.0,4.666666666666667,2.8674417556808756,0.3333333333333333,0.4714045207910317,1.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317
Rain-Twilight,2.7562542485384545,3.6679235400089167,93.6047416844997,9.044261044659837,0.033847802357858246,0.0455664738473035,499.68334077919525,387.78557009060034,141.42135556295992,9.536743134829318e-07,0.3333333333333333,0.4714045207910317,0.0,0.0,8.666666666666666,4.027681991198191,0.3333333333333333,0.4714045207910317,1.6666666666666667,0.9428090415820634,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317
