weather_daytime,score mean,score std,completion mean,completion std,penalty mean,penalty std,duration mean,duration std,length mean,length std,collisions_layout mean,collisions_layout std,collisions_pedestrian mean,collisions_pedestrian std,collisions_vehicle mean,collisions_vehicle std,outside_route_lanes mean,outside_route_lanes std,red_light mean,red_light std,route_dev mean,route_dev std,route_timeout mean,route_timeout std,stop_infraction mean,stop_infraction std,vehicle_blocked mean,vehicle_blocked std
Clear-Morning,19.274922310711528,10.156515991152054,55.06764288506796,37.900563231045176,0.46799116097400534,0.17319907501049026,188.45000280812383,122.87384634909736,141.42135365230294,5.671044080422255e-06,0.0,0.0,0.0,0.0,1.0,0.816496580927726,0.3333333333333333,0.4714045207910317,0.6666666666666666,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4714045207910317
Clear-Night,1.9059810148771315,1.4641805318323964,100.0,0.0,0.019059810148771318,0.014641805318323963,170.48333587373295,134.63405746353928,141.42135376469443,2.225240031617204e-06,0.0,0.0,0.0,0.0,7.666666666666667,2.494438257849294,0.6666666666666666,0.4714045207910317,2.3333333333333335,1.247219128924647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clear-Twilight,12.565265915635289,4.956285868586193,98.52165677303476,2.0906930414166376,0.12652440859042977,0.048344312437443436,109.93333497146766,37.74379328240732,141.4213502805551,3.464141461188573e-06,0.6666666666666666,0.4714045207910317,0.0,0.0,3.0,0.816496580927726,0.3333333333333333,0.4714045207910317,0.6666666666666666,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317
Cloudy-Morning,21.895078657201783,18.246630940767435,77.55028846038101,31.748686530692943,0.28023849907517767,0.15777935403774937,95.05000141635537,21.572320549003482,141.4213502805551,3.464141461188573e-06,0.3333333333333333,0.4714045207910317,0.0,0.0,2.0,1.4142135623730951,0.3333333333333333,0.4714045207910317,0.6666666666666666,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317
Cloudy-Night,29.338326579110817,35.11155226749299,69.15128023447969,43.62667787424579,0.6018704634463113,0.4225980810408311,303.3166711864372,282.4643539753295,141.42135365230294,5.671044080422255e-06,0.0,0.0,0.0,0.0,2.6666666666666665,3.7712361663282534,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317
Cloudy-Twilight,37.377010268255084,21.579852858606603,54.99581164517929,37.82440266529852,0.823811986230758,0.24916747860003965,191.93333619336286,125.80799270021083,141.42135365230294,5.671044080422255e-06,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4714045207910317
Rain-Morning,18.383990523072743,19.18165913342871,84.81827874271319,21.47019610222293,0.1865578002120856,0.18937279520370315,110.95000165328383,39.17718356912364,141.4213502805551,3.464141461188573e-06,0.0,0.0,0.0,0.0,4.0,2.449489742783178,0.6666666666666666,0.4714045207910317,0.6666666666666666,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317
Rain-Night,3.132998333124234,3.0336825417395916,36.10899425956011,45.249991581402796,0.38692824010187427,0.43634007598126584,108.06666827698548,32.07086818607275,141.42135533817677,3.36424672662671e-06,0.6666666666666666,0.9428090415820634,0.0,0.0,2.3333333333333335,3.2998316455372216,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4714045207910317
Rain-Twilight,13.150406059020819,10.022841571486047,85.9697993079878,19.841700101460024,0.1904309034966594,0.1736564247545259,280.6333375150959,153.66199788035294,141.42135556295992,9.536743134829318e-07,0.0,0.0,0.0,0.0,6.666666666666667,6.64997911442,0.3333333333333333,0.4714045207910317,1.6666666666666667,0.9428090415820634,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317
