weather_daytime,score mean,score std,completion mean,completion std,penalty mean,penalty std,duration mean,duration std,length mean,length std,collisions_layout mean,collisions_layout std,collisions_pedestrian mean,collisions_pedestrian std,collisions_vehicle mean,collisions_vehicle std,outside_route_lanes mean,outside_route_lanes std,red_light mean,red_light std,route_dev mean,route_dev std,route_timeout mean,route_timeout std,stop_infraction mean,stop_infraction std,vehicle_blocked mean,vehicle_blocked std
Clear-Morning,54.99581164517929,37.82440266529852,54.99581164517929,37.82440266529852,1.0,0.0,189.8000028282404,124.78470311190085,141.42135365230294,5.671044080422255e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4714045207910317
Clear-Night,48.06666666666666,18.301426781052406,100.0,0.0,0.48066666666666663,0.18301426781052402,208.9333364466826,164.53959410752404,141.42135376469443,2.225240031617204e-06,0.0,0.0,0.0,0.0,0.6666666666666666,0.9428090415820634,0.0,0.0,1.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clear-Twilight,80.0,14.142135623730951,100.0,0.0,0.7999999999999999,0.14142135623730953,76.71666780983408,16.291988730639556,141.4213502805551,3.464141461188573e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cloudy-Morning,70.66666666666667,23.683092891108814,100.0,0.0,0.7066666666666667,0.23683092891108815,76.31666780387361,16.458550876728424,141.4213502805551,3.464141461188573e-06,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317,0.0,0.0,0.6666666666666666,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cloudy-Night,54.98442367080738,37.82364202390404,54.98442367080738,37.82364202390404,1.0,0.0,191.13333618144193,126.70575901412602,141.42135365230294,5.671044080422255e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4714045207910317
Cloudy-Twilight,54.99581164517929,37.82440266529852,54.99581164517929,37.82440266529852,1.0,0.0,189.76666949441037,124.80827037148926,141.42135365230294,5.671044080422255e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4714045207910317
Rain-Morning,70.66666666666667,23.683092891108814,100.0,0.0,0.7066666666666667,0.23683092891108815,76.45000113919377,16.457420051105412,141.4213502805551,3.464141461188573e-06,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317,0.0,0.0,0.6666666666666666,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rain-Night,27.08802690114635,30.379785306999565,69.15128023447969,43.62667787424579,0.5793674666666667,0.40185063916439845,179.45000267401338,131.814688803962,141.42135533817677,3.36424672662671e-06,0.0,0.0,0.0,0.0,1.6666666666666667,2.357022603955158,0.0,0.0,1.0,0.816496580927726,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317
Rain-Twilight,30.138689935155174,22.157761392028767,62.38338326848852,28.937837429132557,0.6775530666666666,0.45600882626561323,218.96666992952427,105.48739681679324,141.42135556295992,9.536743134829318e-07,0.0,0.0,0.0,0.0,2.0,2.8284271247461903,0.0,0.0,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4714045207910317
