weather_daytime,score mean,score std,completion mean,completion std,penalty mean,penalty std,duration mean,duration std,length mean,length std,collisions_layout mean,collisions_layout std,collisions_pedestrian mean,collisions_pedestrian std,collisions_vehicle mean,collisions_vehicle std,outside_route_lanes mean,outside_route_lanes std,red_light mean,red_light std,route_dev mean,route_dev std,route_timeout mean,route_timeout std,stop_infraction mean,stop_infraction std,vehicle_blocked mean,vehicle_blocked std
Clear-Morning,40.28251493046065,30.067721103251905,55.27208939313715,37.5826929593897,0.6300944813549061,0.15130478941359798,189.6333361590902,124.12753259479729,141.42135365230294,5.671044080422255e-06,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.6666666666666666,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4714045207910317
Clear-Night,29.01878754113775,29.004914105723213,84.0544344067049,22.550435121747725,0.3115884674320282,0.2749918873759277,183.2500027306378,125.47117385749769,141.42135376469443,2.225240031617204e-06,0.0,0.0,0.0,0.0,1.3333333333333333,1.247219128924647,0.6666666666666666,0.4714045207910317,2.3333333333333335,1.8856180831641267,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317
Clear-Twilight,39.04780422902204,28.84743936139864,84.81827874271319,21.47019610222293,0.39202750014331467,0.28640782412540333,141.8166687798997,80.12278544132343,141.4213502805551,3.464141461188573e-06,0.0,0.0,0.0,0.0,3.0,3.559026084010437,0.6666666666666666,0.4714045207910317,0.6666666666666666,0.4714045207910317,0.0,0.0,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0
Cloudy-Morning,33.434585450089024,15.441870263237126,83.59471983570339,23.200569702878585,0.3723190406380367,0.10131230271495627,97.0500014461577,19.59936252657507,141.4213502805551,3.464141461188573e-06,0.0,0.0,0.0,0.0,1.3333333333333333,0.4714045207910317,0.6666666666666666,0.4714045207910317,0.6666666666666666,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317
Cloudy-Night,46.31545604521195,30.460962638198318,55.02155368815931,37.56769011863593,0.7903303918594687,0.16387089219824713,211.0833364787201,152.6382256073801,141.42135365230294,5.671044080422255e-06,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4714045207910317
Cloudy-Twilight,19.1134400767132,19.495573618861815,54.98157837116156,37.56560486828818,0.33849214182033455,0.14889169842312638,221.6833366366724,168.8518968561358,141.42135365230294,5.671044080422255e-06,0.0,0.0,0.0,0.0,2.0,1.4142135623730951,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4714045207910317
Rain-Morning,50.94887915103385,32.269865431026716,77.01592898428099,32.50438494897619,0.5502740255277319,0.2653226726253145,108.8500016219914,34.103666000327436,141.4213502805551,3.464141461188573e-06,0.6666666666666666,0.9428090415820634,0.0,0.0,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.6666666666666666,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317
Rain-Night,34.23154542211774,27.41936883595826,69.34784207223557,43.34869745744645,0.47105451751778804,0.16996842169842494,204.2666697104772,119.07712897445987,141.42135533817677,3.36424672662671e-06,0.0,0.0,0.0,0.0,0.6666666666666666,0.4714045207910317,0.3333333333333333,0.4714045207910317,1.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317
Rain-Twilight,16.68644091340635,17.21997723027194,82.58803505339452,17.574886497490834,0.26667351501229924,0.3089324074237925,348.31667185698944,151.65719427161852,141.42135556295992,9.536743134829318e-07,0.3333333333333333,0.4714045207910317,0.0,0.0,4.666666666666667,4.642796092394707,0.3333333333333333,0.4714045207910317,1.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
