weather_daytime,score mean,score std,completion mean,completion std,penalty mean,penalty std,duration mean,duration std,length mean,length std,collisions_layout mean,collisions_layout std,collisions_pedestrian mean,collisions_pedestrian std,collisions_vehicle mean,collisions_vehicle std,outside_route_lanes mean,outside_route_lanes std,red_light mean,red_light std,route_dev mean,route_dev std,route_timeout mean,route_timeout std,stop_infraction mean,stop_infraction std,vehicle_blocked mean,vehicle_blocked std
Clear-Morning,35.16075892869353,45.896964926211076,69.20471524883838,43.551109352234135,0.5671745825450666,0.41830662619317255,430.9333397547404,466.1050100176557,141.42135365230294,5.671044080422255e-06,0.0,0.0,0.0,0.0,4.0,5.656854249492381,0.0,0.0,0.6666666666666666,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317
Clear-Night,6.446981141242751,2.4845743548450887,83.93950553144731,22.712969095845292,0.08665279545242259,0.043778956662798525,202.4833363505701,142.54783230364686,141.42135376469443,2.225240031617204e-06,0.0,0.0,0.0,0.0,3.6666666666666665,0.4714045207910317,0.3333333333333333,0.4714045207910317,2.0,1.4142135623730951,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317
Clear-Twilight,40.67230418738246,42.08512333813062,82.33050383860542,24.988441111743555,0.4326564426330915,0.40117655446458983,93.58333472783367,25.329835662252968,141.4213502805551,3.464141461188573e-06,0.0,0.0,0.0,0.0,2.0,1.4142135623730951,0.3333333333333333,0.4714045207910317,0.6666666666666666,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317
Cloudy-Morning,34.978308160543214,45.98190109193082,84.81827874271319,21.47019610222293,0.35443617811115086,0.45648329358900797,127.08333522702257,61.87051534970168,141.4213502805551,3.464141461188573e-06,0.0,0.0,0.0,0.0,4.0,2.8284271247461903,0.3333333333333333,0.4714045207910317,0.6666666666666666,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317
Cloudy-Night,46.616686187273295,39.584099374272796,55.04924665953798,37.7572554059261,0.7666666666666666,0.16996731711975951,192.56666953613362,127.81970130798379,141.42135365230294,5.671044080422255e-06,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317,0.0,0.0,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4714045207910317
Cloudy-Twilight,54.276444110514554,38.716039680311084,55.037858685166064,37.75650952865323,0.9,0.14142135623730953,192.96666954209408,129.1549239712573,141.42135365230294,5.671044080422255e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4714045207910317
Rain-Morning,67.87347500116101,45.43376736527638,99.37685669601274,0.8812577118007672,0.6789646522323437,0.4540125428141828,140.91666876648864,80.74207339740524,141.4213502805551,3.464141461188573e-06,0.3333333333333333,0.4714045207910317,0.0,0.0,1.3333333333333333,1.8856180831641267,0.3333333333333333,0.4714045207910317,0.6666666666666666,0.9428090415820634,0.0,0.0,0.3333333333333333,0.4714045207910317,0.0,0.0,0.0,0.0
Rain-Night,10.207723320541204,6.818324154544894,69.20471524883838,43.551109352234135,0.3176442264635434,0.27668983749900244,175.53333594898382,135.0768587360106,141.42135533817677,3.36424672662671e-06,0.0,0.0,0.0,0.0,2.0,2.160246899469287,0.3333333333333333,0.4714045207910317,1.6666666666666667,0.9428090415820634,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317
Rain-Twilight,13.495021061611036,10.087445342705125,85.45354596471238,19.48691411991678,0.1947226764988467,0.17270380541752864,292.85000436380506,91.11166361887518,141.42135556295992,9.536743134829318e-07,1.0,0.816496580927726,0.0,0.0,4.666666666666667,4.4969125210773475,0.0,0.0,2.0,1.4142135623730951,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4714045207910317
